16 4842 19177
0 197 -0.091072 -0.277833
1 197 -0.0480748 -0.293754
0 198 -0.000299985 -0.277833
1 198 0.0379198 -0.296938
0 199 -0.0958495 -0.276241
1 199 -0.0528522 -0.292162
0 200 -0.106997 -0.274649
1 200 -0.062938 -0.291366
0 201 -0.0576297 -0.137726
1 201 -0.0114474 -0.161608
0 202 -0.100627 -0.266688
1 202 -0.0528522 -0.282609
0 203 -0.0512597 -0.144094
1 203 -0.00826242 -0.166384
0 204 -0.103812 -0.265096
1 204 -0.0592222 -0.282609
0 205 -0.00985492 -0.263504
1 205 0.0315499 -0.282609
0 206 -0.00348497 -0.261912
1 206 0.0379198 -0.280752
0 207 -0.102219 -0.260319
1 207 -0.0544447 -0.276241
0 208 0.002885 -0.258727
1 208 0.0411048 -0.277833
0 209 -0.0321498 -0.156831
1 209 0.0108475 -0.179121
0 210 -0.0990345 -0.250767
1 210 -0.0528522 -0.26828
0 211 -0.00189248 -0.250767
1 211 0.0365928 -0.270138
0 212 0.00129251 -0.250767
1 212 0.0395123 -0.269872
0 213 -0.106997 -0.24599
1 213 -0.0608147 -0.263504
0 214 -0.0337423 -0.161608
1 214 0.00925498 -0.18549
0 215 -0.100627 -0.241214
1 215 -0.0560372 -0.258727
0 216 -0.0655922 -0.241214
1 216 -0.0178174 -0.258727
0 217 -0.00348497 -0.239622
1 217 0.0363273 -0.258727
0 218 -0.0624072 -0.234845
1 218 -0.0162249 -0.253951
0 219 -0.105404 -0.233253
1 219 -0.0576297 -0.250767
0 220 -0.0926645 -0.233253
1 220 -0.0480748 -0.250767
0 221 -0.00985492 -0.00557944
1 221 0.0347348 -0.0374219
0 222 -0.00826242 -0.233253
1 222 0.0331423 -0.252359
0 223 -0.0862946 -0.222108
1 223 -0.0401123 -0.239622
0 224 -0.0862946 -0.217332
1 224 -0.0432973 -0.236438
0 225 -0.0751471 -0.217332
1 225 -0.0321498 -0.236438
0 226 -0.0401123 -0.167976
1 226 0.00208876 -0.190531
0 227 -0.0480748 -0.21574
1 227 -0.00454663 -0.235642
0 228 -0.091072 -0.214148
1 228 -0.0464823 -0.233253
0 229 -0.0815171 -0.212556
1 229 -0.0385198 -0.231661
0 230 -0.0751471 -0.210964
1 230 -0.0305573 -0.230069
0 231 -0.0894795 -0.209371
1 231 -0.045686 -0.229008
0 232 -0.0847021 -0.209371
1 232 -0.0401123 -0.228477
0 233 -0.0464823 -0.169568
1 233 -0.00348497 -0.191858
0 234 -0.0401123 -0.201411
1 234 0.00208876 -0.222374
0 235 -0.0385198 -0.19345
1 235 0.00341585 -0.214413
0 236 -0.0894795 -0.18549
1 236 -0.0417048 -0.205126
0 237 -0.0783321 -0.182305
1 237 -0.0337423 -0.202472
0 238 -0.0847021 -0.201411
1 238 -0.0417048 -0.222108
0 239 -0.0862946 -0.331965
1 239 -0.0403777 -0.344437
0 240 -0.124514 -0.0581196
1 240 -0.0735546 -0.0843897
0 241 -0.0735546 -0.306491
1 241 -0.0286463 -0.321457
0 242 -0.0385198 -0.124989
1 242 0.00341585 -0.150728
0 243 -0.0324683 0.610891
1 243 0.0458823 0.523006
0 244 -0.089798 0.589875
1 244 -0.00666996 0.508677
0 245 -0.206368 0.545933
1 245 -0.121329 0.478426
0 246 -0.0745101 -0.346294
1 246 -0.0324683 -0.361579
0 247 -0.106997 -0.422716
1 247 -0.0592222 -0.430677
0 248 0.00192953 -0.29853
1 248 0.0379198 -0.317636
0 249 -0.0745101 -0.369221
1 249 -0.0324683 -0.380684
0 250 -0.0821541 -0.300441
1 250 -0.0401122 -0.317636
0 251 -0.0706881 -0.340563
1 251 -0.0286463 -0.353936
0 252 1.85404e-05 -0.317636
1 252 0.0401494 -0.334831
0 253 -0.080243 -0.325278
1 253 -0.0362903 -0.340563
0 254 -0.00380343 -0.304262
1 254 0.0331423 -0.32082
0 255 -0.00380343 -0.00621628
1 255 0.0363274 -0.0386956
0 256 -0.085976 -0.33101
1 256 -0.0401123 -0.344702
0 257 -0.0974419 -0.288978
1 257 -0.0534892 -0.304262
0 258 -0.105086 -0.281336
1 258 -0.0611331 -0.29853
0 259 -0.192991 -0.101744
1 259 -0.13184 -0.120849
0 260 -0.095531 -0.277514
1 260 -0.0534892 -0.292799
0 261 -0.30574 -0.101744
1 261 -0.238855 -0.118939
0 262 -0.2293 -0.111297
1 262 -0.166238 -0.130402
0 263 -0.101264 -0.260319
1 263 -0.0554002 -0.277514
0 264 -0.00189245 -0.258409
1 264 0.0401494 -0.277514
0 265 -0.105086 -0.245035
1 265 -0.0592221 -0.26223
0 266 -0.0420232 -0.155239
1 266 -0.000299985 -0.177529
0 267 -0.00762541 -0.245035
1 267 0.0325054 -0.264141
0 268 -0.0362903 -0.160971
1 268 0.00766252 -0.183897
0 269 -0.00380343 -0.239303
1 269 0.0363274 -0.258409
0 270 -0.0630441 -0.235482
1 270 -0.0152694 -0.252677
0 271 -0.09362 -0.233572
1 271 -0.0477562 -0.250767
0 272 -0.078332 -0.180076
1 272 -0.0324683 -0.201092
0 273 -0.089798 -0.185808
1 273 -0.0417048 -0.204595
0 274 -0.0210023 -0.224019
1 274 0.0210394 -0.245035
0 275 -0.0764211 -0.199182
1 275 -0.0324683 -0.220198
0 276 -0.095531 -0.201092
1 276 -0.0477562 -0.220198
0 277 -0.0764211 -0.218287
1 277 -0.0324683 -0.237393
0 278 -0.0248243 -0.220198
1 278 0.0172174 -0.239622
0 279 -0.0745101 -0.208735
1 279 -0.0305573 -0.22784
0 280 -0.091709 -0.277514
1 280 -0.0477562 -0.292799
0 281 -0.087887 -0.222108
1 281 -0.0439342 -0.241214
0 282 -0.078332 -0.19345
1 282 -0.0321498 -0.212556
0 283 -0.085976 -0.22593
1 283 -0.0401122 -0.243124
0 284 0.0535263 0.643371
1 284 0.126834 0.543173
0 285 -0.106997 -0.231661
1 285 -0.0611331 -0.248856
0 286 -0.294274 0.513453
1 286 -0.212101 0.454226
0 287 -0.110819 0.584144
1 287 -0.0286463 0.503901
0 288 -0.101264 -0.266051
1 288 -0.0534892 -0.283246
0 289 -0.11273 0.578412
1 289 -0.0324683 0.500079
0 290 -0.0439342 -0.12467
1 290 0.000761666 -0.148075
0 291 -0.0649551 -0.241214
1 291 -0.0171804 -0.258409
0 292 -0.0496672 -0.220198
1 292 -0.00571442 -0.239303
0 293 -0.085976 -0.287067
1 293 -0.0401122 -0.302352
0 294 -0.0114474 -0.352026
1 294 0.0286834 -0.3654
