16 4330 15933
1 128 -0.0430319 -0.237189
0 129 -0.0684675 -0.218394
1 129 -0.0231257 -0.236084
0 130 -0.0341847 -0.218394
1 130 0.0089453 -0.238295
0 131 -0.0894795 -0.217288
1 131 -0.0452437 -0.236084
0 132 -0.0751029 -0.217288
1 132 -0.030867 -0.236084
0 133 -0.062938 -0.216182
1 133 -0.0175962 -0.234978
0 134 -0.0474555 -0.216182
1 134 -0.00211367 -0.234978
0 135 -0.0905854 -0.215077
1 135 -0.0463496 -0.233873
0 136 -0.0762088 -0.215077
1 136 -0.0319729 -0.233873
0 137 -0.0795265 -0.213971
1 137 -0.0363965 -0.232767
0 138 -0.0706793 -0.213971
1 138 -0.0253375 -0.232767
0 139 -0.0905854 -0.212865
1 139 -0.0463496 -0.231661
0 140 -0.0596203 -0.212865
1 140 -0.0131726 -0.230556
0 141 -0.0839501 -0.21176
1 141 -0.0408201 -0.231661
0 142 -0.0905854 -0.210654
1 142 -0.0452437 -0.228344
0 143 -0.0363965 -0.208443
1 143 0.0067335 -0.227239
0 144 -0.0883736 -0.202915
1 144 -0.041926 -0.222816
0 145 -0.041926 -0.201809
1 145 0.00230992 -0.22171
0 146 -0.0751029 -0.197386
1 146 -0.030867 -0.217288
0 147 -0.0972208 -0.196281
1 147 -0.0496672 -0.215077
0 148 -0.0762088 -0.194069
1 148 -0.0341847 -0.213971
0 149 -0.0728911 -0.192964
1 149 -0.0275493 -0.21176
0 150 -0.095009 -0.188541
1 150 -0.0474555 -0.208443
0 151 -0.073997 -0.187436
1 151 -0.0297611 -0.208443
0 152 -0.051879 -0.184119
1 152 -0.00764316 -0.20402
0 153 -0.0297611 -0.0536528
1 153 0.012263 -0.0835052
0 154 -0.0784206 -0.181907
1 154 -0.0330788 -0.202915
0 155 -0.0684675 -0.174168
1 155 -0.0231257 -0.195175
0 156 -0.0773147 -0.170851
1 156 -0.0319729 -0.191858
0 157 -0.0496672 -0.16864
1 157 -0.00653726 -0.190752
0 158 -0.0408201 -0.16864
1 158 0.00230992 -0.190752
0 159 -0.0773147 -0.166428
1 159 -0.0319729 -0.187436
0 160 -0.0363965 -0.166428
1 160 0.0067335 -0.189647
0 161 -0.0551967 -0.163111
1 161 -0.0109608 -0.184119
0 162 -0.0341847 -0.163111
1 162 0.0089453 -0.18633
0 163 -0.0585144 -0.162006
1 163 -0.0142785 -0.183013
0 164 -0.0872677 -0.146527
1 164 -0.0397142 -0.16864
0 165 -0.0839501 -0.145421
1 165 -0.0352906 -0.16864
0 166 -0.0751029 -0.14321
1 166 -0.0275493 -0.166428
0 167 -0.0507731 -0.14321
1 167 -0.00764316 -0.165323
0 168 -0.0618321 -0.13547
1 168 -0.0164903 -0.158689
0 169 -0.0607262 -0.132153
1 169 -0.0153844 -0.154266
0 170 -0.325036 -0.122203
1 170 -0.257576 -0.138787
0 171 -0.321718 -0.122203
1 171 -0.253152 -0.138787
0 172 -0.315083 -0.121097
1 172 -0.247623 -0.137682
0 173 -0.0220198 -0.0669205
1 173 0.0200043 -0.0967729
0 174 -0.425672 -0.0669205
