15 5780 17501
1 224 -0.0204081 0.194995
0 156 0.218417 0.241798
0 225 0.205507 0.248253
1 225 0.216803 0.206293
0 226 -0.0413859 0.249867
1 226 -0.0252491 0.207906
0 227 0.197439 0.254709
1 227 0.208089 0.211457
0 228 -0.0333176 0.261164
1 228 -0.0171807 0.219203
0 229 0.218417 0.261164
1 229 0.231326 0.22114
0 230 -0.0284765 0.26762
1 230 -0.0126624 0.228887
0 231 0.20228 0.274075
1 231 0.215835 0.236633
0 232 -0.00749861 0.275689
1 232 0.00702448 0.232115
0 233 0.00056974 0.278917
1 233 0.0144474 0.234697
0 234 0.18937 0.280531
1 234 0.200344 0.240507
0 235 0.00863816 0.306353
1 235 0.0233406 0.266903
0 236 -0.227605 -0.278516
1 236 -0.196299 -0.324673
0 237 -0.212113 -0.268833
1 237 -0.183067 -0.315313
0 238 -0.192749 -0.226227
1 238 -0.165639 -0.273029
0 239 0.142251 -0.214607
1 239 0.161615 -0.252178
0 240 -0.0843098 -0.172
1 240 -0.0623638 -0.214929
0 241 -0.00298032 -0.168127
1 241 0.0183203 -0.20686
0 242 0.000892573 -0.164254
1 242 0.0221932 -0.202987
0 173 -0.0649456 -0.152634
0 243 0.0318752 -0.152634
1 243 0.0531758 -0.18943
0 244 -0.0746277 -0.117774
1 244 -0.0533272 -0.164254
0 177 -0.043645 -0.113901
0 245 -0.00104388 -0.0771043
1 245 0.0183203 -0.119711
0 185 0.0105746 -0.0674211
0 246 0.273927 -0.0654844
1 246 0.29426 -0.0987303
0 247 0.0512394 -0.0616111
1 247 0.0715718 -0.0987303
0 248 -0.115292 -0.0383713
1 248 -0.0930237 -0.0825915
0 249 -0.123038 -0.034498
1 249 -0.101738 -0.0771043
0 250 -0.101738 -0.0267514
1 250 -0.081728 -0.0729083
0 251 -0.0901191 -0.0112581
1 251 -0.0688185 -0.0461179
0 252 0.049303 -0.0112581
1 252 0.065117 -0.0567695
0 253 0.262309 0.0294116
1 253 0.279737 -0.00512542
0 254 -0.0843098 0.0371582
1 254 -0.0461374 0.109998
0 190 0.273927 0.0468414
0 255 0.275864 0.0507147
1 255 0.289419 0.0142411
0 256 0.266182 0.0565247
1 256 0.279737 0.0197283
0 192 0.2778 0.0565247
0 257 0.177107 0.0623347
1 257 0.194212 0.0239244
0 258 0.285546 0.0720179
1 258 0.297164 0.0332849
0 259 0.275864 0.0797645
1 259 0.287482 0.0410315
0 125 0.252627 0.0875111
0 260 0.2778 0.0894478
1 260 0.289419 0.0487781
0 261 0.144187 0.101068
1 261 0.149997 0.0476161
0 262 0.0977134 0.124308
1 262 0.105459 0.0700813
0 200 -0.0785006 0.128181
0 263 0.151933 0.143674
1 263 0.159292 0.0917718
0 204 -0.0707549 0.147547
0 264 0.0125111 0.149484
1 264 0.0245169 0.0940958
0 206 0.268118 0.153357
0 209 0.0105746 0.159167
0 265 0.262309 0.163041
1 265 0.271759 0.120124
0 211 0.0570487 0.166914
0 213 -0.0707549 0.172724
0 266 -0.0591364 0.178534
1 266 -0.0417087 0.133991
0 267 -0.0630093 0.18628
1 267 -0.0455815 0.141737
0 268 -0.0591364 0.194027
1 268 -0.0428705 0.147547
0 269 -0.0533272 0.199837
1 269 -0.0358994 0.155294
0 270 0.242945 0.20371
1 270 0.254563 0.163815
0 219 -0.0513907 0.205647
0 271 0.213899 0.20952
1 271 0.223581 0.164977
0 272 -0.0513907 0.219204
1 272 -0.0339629 0.176597
0 222 -0.043645 0.230823
0 224 -0.0358994 0.23857
0 273 -0.0417087 0.25019
1 273 -0.0266046 0.207971
0 227 0.198407 0.254063
0 230 -0.0300901 0.26762
0 274 0.376558 0.269556
1 274 0.375396 0.217267
0 233 0.000892573 0.27924
0 275 0.140315 0.286986
1 275 0.136442 0.211457
0 276 -0.221795 -0.277742
1 276 -0.191587 -0.324221
0 277 -0.207853 -0.249854
1 277 -0.177645 -0.296333
0 278 0.0175457 -0.138303
1 278 0.237135 0.0797645
0 279 0.0756383 -0.0918229
1 279 0.095777 -0.131331
0 280 0.270829 -0.0662591
1 280 0.291743 -0.0987948
0 281 0.0128984 -0.0639351
1 281 0.0291643 -0.110415
0 282 0.119789 -0.0430192
1 282 0.133731 -0.0871749
0 283 0.17091 -0.0197794
1 283 0.185317 -0.0611463
0 284 -0.077726 -0.0035115
1 284 -0.0568126 -0.0406952
0 285 0.0709909 0.0174043
1 285 0.0880314 -0.0209414
0 286 -0.0730786 0.0336722
1 286 -0.0591364 -0.0313993
0 287 0.282448 0.0406442
1 287 0.300201 0.00689998
0 288 0.0128984 0.0569121
1 288 0.0570487 0.0838703
0 289 0.284771 0.0731799
1 289 0.29639 0.0336722
0 290 0.263858 0.0847999
1 290 0.275477 0.0429682
0 291 0.298714 0.0917718
1 291 0.31201 0.0529742
0 292 0.280124 0.0987438
1 292 0.287482 0.0526514
0 293 0.184852 0.121984
1 293 0.191823 0.0731799
0 294 0.168586 0.128956
1 294 0.17091 0.0731799
0 294 0.168586 0.133604
0 295 0.212737 0.135927
1 295 0.218778 0.0866591
0 263 0.15232 0.145223
0 296 -0.038223 0.152195
1 296 -0.0219571 0.0987438
0 297 0.161615 0.154519
1 297 0.168586 0.101068
0 298 -0.0614601 0.177759
1 298 -0.0428705 0.133604
0 299 0.163939 0.180083
1 299 0.17091 0.128956
0 300 -0.0637838 0.184731
1 300 -0.0475179 0.140575
0 301 -0.0498416 0.184731
1 301 -0.0335757 0.140575
0 302 -0.0544889 0.198675
1 302 -0.0377583 0.156379
0 303 0.240621 0.203323
1 303 0.253355 0.164187
0 219 -0.0521653 0.207971
0 302 -0.0521653 0.219591
0 304 0.0849331 0.233535
1 304 0.095777 0.184344
0 305 -0.0428705 0.249803
1 305 -0.0277198 0.207692
0 306 0.187176 0.259099
1 306 0.196471 0.214943
0 307 0.0128984 0.31255
1 307 0.0268406 0.268395
0 308 0.129083 0.33579
1 308 0.00541079 -0.0513899
0 309 -0.221795 -0.278671
1 309 -0.191123 -0.323292
0 310 -0.199488 -0.264727
1 310 -0.171603 -0.309348
0 311 -0.193911 -0.225684
1 311 -0.164911 -0.274209
0 312 -0.0963156 -0.139232
1 312 -0.0754023 -0.187106
0 313 0.149067 -0.0723014
1 313 0.166356 -0.110229
0 314 -0.118623 -0.063935
1 314 -0.0963156 -0.105767
0 315 0.0486834 -0.0611463
1 315 0.0686672 -0.101119
0 316 0.296855 -0.0416248
1 316 0.314979 -0.077879
0 317 0.129548 -0.0193145
1 317 0.140702 -0.0667238
0 318 -0.0935271 -0.00537065
1 318 -0.0712196 -0.0444136
0 285 0.0682025 0.0169396
0 255 0.271759 0.050405
0 319 0.271759 0.0727152
1 319 0.284771 0.0336722
0 289 0.285701 0.075504
0 320 0.274547 0.0810815
1 320 0.287095 0.0406442
0 290 0.263393 0.0838703
0 321 0.26897 0.0894479
1 321 0.280124 0.0476162
0 322 0.294066 0.0922367
1 322 0.30522 0.0531937
0 323 0.14349 0.114547
1 323 0.151856 0.0643489
0 324 0.218778 0.128491
1 324 0.227144 0.0810815
0 325 0.227144 0.128491
1 325 0.235509 0.0810815
0 326 0.149067 0.170323
1 326 0.156317 0.117336
0 327 -0.0600658 0.178689
1 327 -0.0411044 0.134068
0 328 -0.0517005 0.184266
